time,open,high,low,close,volume
2022-05-16,29055.0,31293.31,31290.02,29839.89,22646.18507353
2022-05-17,29415.01,30750.0,29839.89,30412.12,19833.30676705
2022-05-18,28605.0,30675.92,30412.1,28672.94,28348.42643576
2022-05-19,28645.2,30500.0,28671.5,30274.59,29009.9710577
2022-05-20,28690.92,30729.83,30274.59,29155.75,34328.18791921
2022-05-21,28913.26,29613.34,29155.74,29408.26,9998.48360206
2022-05-22,29211.0,30457.9,29407.4,30260.87,11774.13662231
2022-05-23,28847.72,30635.39,30258.04,29082.52,25413.0825529
2022-05-24,28611.0,29802.0,29079.31,29626.44,17077.03870179
2022-05-25,29296.12,30192.08,29627.61,29503.49,17180.56600794
2022-05-26,28000.0,29850.0,29503.48,29166.06,26598.58606063
2022-05-27,28220.0,29355.4,29166.06,28598.31,21035.53736928
2022-05-28,28500.0,29239.52,28598.31,29008.99,7717.34367577
2022-05-29,28809.84,29550.0,29008.99,29447.07,6727.92770357
2022-05-30,29273.65,32232.16,29447.08,31711.42,24915.37275974
2022-05-31,31195.9,32383.96,31716.67,31784.05,21187.77667355
2022-06-01,29308.01,31964.56,31784.18,29788.79,26857.46263482
2022-06-02,29558.61,30655.0,29789.19,30433.75,18519.12608247
2022-06-03,29213.47,30674.95,30429.12,29670.85,15016.78184772
2022-06-04,29454.14,29952.0,29672.77,29843.18,6390.75942952
2022-06-05,29505.65,30158.44,29837.56,29901.54,5482.4963235
2022-06-06,29866.44,31745.0,29899.62,31343.61,20384.91220986
2022-06-07,29200.0,31549.21,31349.59,31106.9,23234.0811685
2022-06-08,29829.98,31306.32,31111.0,30177.0,16775.53319148
2022-06-09,29904.0,30679.72,30182.92,30079.62,13334.23491125
2022-06-10,28821.15,30337.83,30079.59,29063.11,23208.77056569
2022-06-11,28080.01,29411.11,29058.79,28388.63,13276.76193059
2022-06-12,26532.95,28516.33,28395.03,26555.2,18661.94193886
2022-06-13,21920.0,26869.35,26555.17,22460.97,81724.84469418
2022-06-14,20816.4,23299.22,22460.97,22120.25,47382.80135514
2022-06-15,20071.0,22769.12,22120.23,22562.33,62040.45345538
2022-06-16,20200.0,22974.1,22562.33,20372.0,37587.2170128
2022-06-17,20209.73,21338.7,20371.96,20447.86,25560.04919013
2022-06-18,17567.45,20750.0,20447.86,18948.89,52894.97568032
2022-06-19,17934.26,20795.11,18944.66,20552.44,29383.34368967
2022-06-20,19603.8,21041.62,20552.39,20549.75,24904.11647858
2022-06-21,20328.03,21711.0,20547.68,20696.96,23770.75139634
2022-06-22,19751.51,20873.52,20699.63,19968.46,26569.63207564
2022-06-23,19869.41,21211.97,19970.07,21104.45,21460.76883515
2022-06-24,20712.54,21537.46,21104.45,21223.72,21361.7652594
